text,true_label,predicted_label,raw_response
"Well John, Rockin Grandma is standing by ready to play that bass, just say the word ",1,1,Positive
so...pretty much i look really tan right now... ,1,1,Positive
"I'm just praying its sunny tomorrow, i NEED to swim.............   ",0,1,Positive
"drinking wine from the bottle after playing some DDR, chilling with my broseph and listening to music ",1,1,Positive
Go Leo! $10M in my bank account and I'd be gapping it too. Mind you I spose the rest of us will pay for Westpacs stuff up in our fees ,0,0,Negative
taking a rest after a long season soccer and enjoying the sun ,1,1,Positive.
"noooooobody cares, btw  hahahahah. oh goodness. summer needs to come faster, like really fast. so many plans  next sunday! &lt;3",1,1,Positive
@kricket_rc234 jomari's shoutout for AP....it's with me. i'm still learning how to upload videos. hehehe  senxa na ,1,1,Positive
@fryfan20 u know honestly i thought u put me on ignore list after that my emotional twittage to Stephen about Dongle  looks like not ,1,0,Negative
@gilwood_cs New maybe  That's my attempt to summarize tuning tips since the good old MF Tuning Tips !,1,1,Positive
"Urghh, i've never felt so rough in my life!!! ",0,0,Negative
there was moonshine involved in that last tweet  happy 2 be with @moonspi @rosenzweig,1,0,Negative
@CoachMonique aww how are Robyn and Riley?! ,1,1,Positive
@taylorswift13 thats cute ,1,1,positive
oh damn i wanna go to seatle...or sacramento...or atlanta again..oorrr i don't know just wanne be in the states again ,0,1,Positive
"@Chells I tried it with a few other things, no joy. I think it was a fluke. ",0,0,Negative
@Malikei0906 its 9:40am in london. so 5 hours and 20 minutes left until the show starts. -.- ,1,0,negative
@toomanyfreaks thanks for respondn bcuz I didn't comprehend the concept @ all! ,1,1,Positive
@MyTwitsAreReal  now u can come to new york to visit me and jan!,0,1,Positive
had more nightmares last night about the same thing as usual and is still feeling pretty shit about it all ,0,0,Negative
"@smathai Up instead of foods? Bring your cuz, it's time for us to be bffffls ",1,1,Positive
is chatting with people on twilighters.org chat and chilling with libby and cara a thinking about going for a walk ,1,1,Positive
is off 2 bed work 2muro gd times nd its derby day  awww mannnn..x,0,1,Positive
I started reading Harry Potter again. ,1,1,Positive
Closing with gail.  miss my boyfriend. I love you.,0,1,Positive.
tday was mint. nemisis/oblivion=epic rides  aah tmra charley!,1,1,Positive
"@iamcrumbs yaaa i guess not, do anythhing good earlier? ",1,0,Negative.
"Waaah, asshat at CVS yesterday shortchanged me  I paid 10$ for chips.",0,0,Negative.
needs a neck massage badly!!!!! these are the few times where i miss having a man around lol sucks being alone when your neck hurts haha ,0,0,Negative
feel like absoloute poopy today! wanna go for a walk but dont know if ash will have time! ,0,0,Negative
"@ddlovato Wish i could , but im in england  xx",0,0,Negative
neeedss to do revision and treally can't be bothered ,0,0,Negative
@HHumes aww thanks for thinking that!! loooooooool!!! arghhh why am i on hol!!!!  ,0,0,Mixed.
"good morning!  so very glad i'm not hungover from last night (hooray for hydration) and oooh, there's coffee in the pot! ",1,1,Positive.
@srsbznss We have the same Dethklok shirt!  ,1,1,Positive
off to bed to red for a while. i'm reading The Adoration Of Jenna Fox by Mary E Pearson.  sounds good. recommendation. tweet dreams! ,1,1,positive
"@noangelvfc 5 hmm. O yes, McFly, it's more ha, but eh doing it on twitter DDDDDDDDD I'm cool. O I shall tell you later ",1,1,Positive
"@NinjaLikesCheez *tears* video games = death.  @damnELECTRIC if you send me the money, I so would, but i'm hella broke and up at 2:15am.  ",0,0,Negative
"heading downtown to do some sr pics for a foreign exchange student from germany! yay!  {thinking of u, @brcphoto }",1,1,Positive.
@GautamGhosh @sampad Thanks for the heads up  So the Fed Gov is gonna protect them by doling out billions of dollars!,1,0,Negative
I'm really tired for some reason.. I slept really well last night    but rafal comes tonight so everything is great!,0,1,Positive.
"is fed up, fed up, fed up, fed up. It feels like we never get a break ",0,0,Negative
Congrats class of 09 @ FHS. Couldn't make it due to poor planning  I'll miss you all.,0,1,Positive
@lcinvin sent you my number already!  I've got internship. Tak boleh balik  when are you done dear?,0,1,Positive
"@mariaruizx Ur right, when I saw the movie for the 1st time I was dying at the theater! With the Audi R8, just perfect ",1,1,Positive.
"going to listen to jonathan read to alex, read, and then sleep ",1,1,positive
Bought Radio Shack brand cordless phone (Presidian) it SUCKS SUCKS SUCKS.  Tech support can't help either.  Taking it back today  ,0,0,Negative
@LeBron_Kingdom I know  I know. What more do the Cavs need?! Gahhh lebron with 44 pts and still lost.,0,0,Negative
is gonna be back on The Emerald in a week and a half... ,1,1,Positive
@razlan79 http://twitpic.com/68uon - WOW! The view is pretty spectacular eh? ,1,1,Positive
@dinography Ouch! and here I thought it was a classic and hard to beat in my book! ,0,0,Negative
@mitchelmusso: june 2nd ,1,0,Negative
is in Florence!! W00t! ,1,1,Positive
@followpeterpan yup buuut I live in cowtown so unless u wanna drive 2 ft worth...we won't b watchin tha game 2gether again ,0,0,Negative
"@FakerGigi So, currently testing the tequila and coffee combo...couldn't find the keyboard for a second, but so far so good.  ",1,1,Positive.
"@gegenhalten No, no don't, that'd be a bad plan. But fun to watch! ",1,0,Negative
@dietzel Glad you enjoyed it! Thanks for joining us! ,1,1,Positive.
"Internazionale, Juventus, AC Milan : wakil Italia u/ champions musim depan! ",1,1,Positive
Seriously asks himself if some of his friendships are really worth it  but is glad to have some very good and wonderful friends!!,0,0,Negative
@Claire_Cordon Too hot out there for me!! - will burn to a crisp in minutes ,0,0,Negative
@johnhalton Certainly is. I love Charlie and Lola ,1,1,Positive
@PawsibleMktg Thanks for posting the Take Your Dog info. I passed it along to my retailer networking group. ,1,1,Positive
@buutterr i heard the same ,0,0,negative
Great Dayy  .. Awl Summeryy Tdayy  .. Dress Nd Sunnys  .. x&lt;3,1,1,Positive
"@digihal thx! this and search, will give u a kickass app ",1,1,Positive
We're getting a pizza and renting the movie &quot;Bedtime Stories&quot; starring Adam Sandler...anyone else see it? ,1,1,positive.
back to back sex and the city on comedy central  ,1,1,positive
@AshFoo Ahhhhh jealous. I wanna go again ,0,0,Negative
@itszikki yooo.. im goin to sleep.. call my cell real quick if you wanna  i love you and miss you. goodnight.,1,1,Positive
@maureenwahlberg ....were wrapping it up! I am not happy. ,0,0,Negative
boring enough day  i hate days like this! dont know whether to get an early night or watch some films!,0,0,Negative
http://img117.imageshack.us/i/windchimezp4.jpg/ lol going through my imageshack.. i dont know where this wind chime is currently  sadface,0,0,Negative
"Of those applying to be Enforcers this year, would anyone like to work alongside moi? ",1,1,Positive
in class..BORING! // rugby T O D A Y !!! yeyyy ,1,0,Mixed
@twickpix holy cow. I must be tired - meant she woulds GOT THAT one! ,1,1,Positive
"@benardo Dude, do you have another of those pencils with spellcheck - and does it come with a fiddle tuner? ",1,0,Negative
&quot;I must get my ugliness from you&quot;  @my mum (via @KaySloan) not very nice :p,1,0,Negative
Sitting aroud game at 6 then nates party later tonight ,1,1,Positive
@official_cee I kno that's way too long!  haha,0,0,Negative
chillin tonight (at least for now) ,1,1,Positive
Off work. Burnt a chunk out of my hand from the grill. ,0,0,Negative.
"@mathewhulbert It's an iPhone app, so you need an iPhone. If you've got one, it's free ; if not, it's pretty expensive ",0,0,Neutral
From no exercise to this is a good step for me. ,1,1,Positive
@piratzjohnny I'm not coming back until July 5th ,0,1,Positive
"I must have been bad in a previous life, this is now 4 weekends in a row with last minute staffing issues. ",0,0,Negative
"Rain, rain go away, please come back another day!! ",0,0,Negative
@Kourdy hahaha... i'm going to work another shift just like it again tonight... it's only for the money ,1,0,Negative
Nearly time for me to go home. The crew are filming JK being terrified of summat. Just had two spots of rain  #dwsr,0,0,Negative
seems to be a nice evening ,1,1,Positive
I buy some soda and put them in the hotel frig only to wake up the next day to a luke warm pepsi one. I was suppose to know to turn it up ,0,0,Negative
I have a bad headache ,0,0,negative
@PeetahC You're pretty important then  very cool!,1,1,Positive
I miss my babies already ,0,1,Positive
"aw, looks like we arent goin to giant tonight... ",0,0,Negative.
yup...problem solved.  Universe in balance again.  @dianewarhol ah ha. brunch. totally! i forgot about that meal!,1,1,Positive
@TheKellanLutz  haha thats funny!! ...well not really!!! but your funny!!! hehe ,1,1,positive
@JasonJMikeMgmt  just makin sure you're alive    Ur silent today!  Just sayin Hey!!  See how I miss you????  ,1,1,Positive
@TheSims3 My friend and I are going to make a TS3 collage today! I picked up a whole bunch of flyers last night. ,1,1,Positive.
@letsdomusic im here! ,0,1,Positive
@cassieventura over here in aus its the frist day of winter.  i miss summer ,0,0,negative
"@bob_saget Content can't be viewed outside the USA... Well that sucks for your followers from the rest of the world, including me. ",0,0,negative
@dominicanhair thanks! If it wasn't for this damn recession I would get out there to you ,1,0,Negative
Ughh.. what a surprise.. Yasmina looks silly... Kate was supposed to won  FOLLOW ME,0,0,negative
"@jazzydacat My friend got the plague ratsies for her kitties, too. I hear they are very fun &amp; cool toys to play with... if you're a cat! ",1,1,Positive
ugh... i have an upset stomach...ugh ... i no feel good ,0,0,Negative
Revising for Science exam on friday! ,1,0,Negative.
Getting pulled over...not a good ending for tonight...especially for my poor bf ,0,0,Negative
omg i just herd rob pattinson got hit by a taxi in NYC while running from a crowd of girls. thats terrible. they probally feel real bad. ,0,0,Negative
"@lovinmyboys LOL, I was going to say you missed Joseph. It's all good either way ",1,0,neutral
@kielley24 May sections na? ,1,0,Neutral
@KiernanS  not to be obvious- but Calculus and Physics classes.  ,1,0,Negative
@teresa_michele I like that idea! Who's got space for an Italian Quake Fundraiser? This will be fun ,1,1,Positive.
my last day at the last magazine tmrw! im going to miss magnus and tenzin and evelien ,0,0,Negative.
"ok, going to look at the apartment that we will probably take, then have to go to some WAH WAH emo show in hob  ",0,1,positive
About 80 degrees and sunny here today... about as nice as anywhere in the world. No hot horseys here hahaha ,1,1,Positive
caved in and bought some iphone apps... sally's day spa? sally's hair salon? omg... im such a sucker ,0,0,Negative
@ImranAjmain YAY imran in SG!  have a safe trip!,1,1,Positive
@Laura_Maloney I'm loving the baby care range already. I'd love to meet up with you. Will check my calendar and let you know. ,1,1,Positive
@KYSHA_CANDYGIRL Both are good though. ,1,1,Positive.
@sudieraeEp I'm sad I didn't get to see you while you were here  maybe next time,0,0,Negative.
time for a Sunday afternoon nap!   #fb,1,1,positive
"@ErinNYC75 I don't get drunk very often, but it's always memorable ",1,1,Positive.
ALL TIME LOW SHOULD PLAY IN BELGIUMMMMM ,1,1,Positive.
"just recieve the cutest friendster birthday comment from my best friend, @jes1129! love you, girl! miss you! ",1,1,Positive.
is trying to figure this out ,0,0,Negative
Playing with new TweetDeck AIR app &amp; iPhone App. Love group syncing. Created a GeekDad's group and realized I missed a few... ,0,1,Positive
my cousin just made me get a twitter account  thanks yaur ,1,0,Negative.
"@philwest64  Hugs. Sorry to hear. Most medics are morons, we should be receiving better treatment than this. Good luck &amp; take care x",0,0,Negative
"@andycroll You should try SQLBuddy, a beautiful alternative to PHPMyAdmin  http://www.sqlbuddy.com/",1,1,Positive
At work on my day off - it sucks ,0,0,Negative
"@basscomm ack, it is too hot for no AC ",0,0,Negative
@CarrieAZ I'm baaaaaack. ,1,1,Positive
@Tisha_Dawn Hi sweety! It's saturday and I'm working ,0,0,Negative
"@Danthol Yeah, I know.    It's been tough; our schedule's completely thrown off the last few wks.  Really hoping to record this week.",0,0,Negative
@officialtila you're the best  please give me a shoutout I'm bridget from Louisiana and I need some major advice it's about a girl importa,1,0,Negative.
"BURGER KING = LOVE  am i the only one that puts fries in my burger and it the crust around it first? People, are looking at me weird :|",1,1,Positive
@lwarren17 Thanks! I hope so too ,1,1,positive
"@TheSydneyTarts and college aged males! it's an overwhelmingly male demographic, but spans a few age groups - under 10 and over 20 ",1,0,Negative
@Mr_deadstock We're listening!  http://bit.ly/nYUk,1,1,Positive
Oops! Totally meant ready* you know me i'm good to go! ,1,1,Positive.
exam not too bad today just have to revise the hell out of physics for friday aka: my birthday ,0,1,Positive
not so much drama as thought!!!...but what a day ,1,0,negative
"Goodmorning, every1! Rejoice! Today is a new day, and all ur troubles R in the past.  There R so many birds w/ distinct songs outside. Aww",1,1,Positive
@andrewbadera I was a latch key kid. I remember one summer when Guns n' Roses November Rain video seemed like all they played ,0,0,Negative
"@TranqJones No, thank YOU for making a difference in my life. ",1,1,Positive
@JackPierce  I have pale and sensitive skin so burn easily ,0,0,Negative
Allys at a sleepover tonight. I have the night to myself gonna watch Bride Wars and eat alot! ,1,1,Positive
"@sc430girl no, not yet   lol",0,1,Positive
okay im failing so badly at this graph on excel stuff. and its getting cold ,0,0,Negative
@NicTomTom Towards end July? Should be out of plaster by then  Name? Hmmm...,1,1,positive
@Brewman_57: Good luck figuring this one out pops! ,1,1,Positive
"Night y'all. I wish I had a hot muscle boy to cudlde up with, but alas... I'm alone ",0,0,Negative
@mizzshellz yes finally yay ,1,1,Positive.
@Sum1sStar scared..  Just keep looking for a place. Im sure you will find something. If I lived there and had my own place you would be,0,0,Negative
Thanks so much @140LoveBird !!!! Very cool ,1,1,Positive
on my way to work.  ihop tonight with ezelle!,0,1,Positive
Forced to eat red hotdogs coz I'm starving and there's nothing else for breakfast. Ick. ,0,0,Negative
Gmail is Down! I'm screwed. I need to download something before a meeting ,0,0,Negative.
ahhh noooo.....now everyone will know I'm gullible ,0,0,Negative.
I hate empty houses...    I also hate not-empty houses...hmm...do I just hate houses in general?  hmm...,0,0,Negative.
Its a new day! Feeling better and optimistic for a change ,1,1,Positive.
W8ing 4 ID tech from the sherif dept 2 take fingerprints on my car. Punks tried a smash &amp; grab in my drvway last nite. Good morning! ,0,0,Negative
is having pizza with the bff of bff's tonight ,1,1,Positive
no one knows mercyful fate ,0,0,Negative
@Five_Knife @TeamHuntress how art thou this morning beautiful mother of mine? wish i could say that ,0,1,Positive.
"just seen the price of JonasBrothers tickets, cant afford that at all  im only a student! ",0,0,Negative.
@pixievixn37 #iremember Garbage Pail Kids too  Follow along &amp; check my site for tons of pics/info on GPK http://geepeekay.com,1,1,Positive
god damn it...six flags today  fml,0,0,Negative
Everyone follow @JackiemW!  He's amazing and on the rise! Get familiar! ,1,1,Positive
eatin lunch and goin back down to the beach ,1,1,positive.
need to find an appropriate promo photo to submit to this audition... don't wanna take more pics ,0,0,Negative
#squarespace #trackle I am sad because I got called off of work  make my day?,0,0,Negative
I LOVE living here. Makes the depressing winters SO worth it ,1,1,Positive
@LilSaw1 MISSS SAW....im in indo right now for like another 2 weekss  hehehe i needed a time away from the london city dude...hows u? news,1,1,Positive
come back home and tired  #fb,0,0,negative
MTV awards are not on in my area ,0,0,Negative
This Old lady in this movie is SCARY lookin ,0,0,Negative
@zpush i need all the sugar! selfish. ,0,0,negative
@nerdwriter we were close to trying all of them! SO YUMMY ,1,1,Positive
I think my iPhone is broke ,0,0,Negative
Ugh. In class. Wait. Let's have a positive attitude today ,1,0,Negative
So hottttt! I feel like going for a swim but i cant. ,0,1,Positive
@RooleyMoor @mattmagic - internal is no fun ,1,0,Negative
@pinecone534 I can take a hint ,0,1,Positive
"Lots of new info (pics, menus, etc.) on the website of Red Ginger, The Phoenix's restaurant: http://www.redgingerbelize.com/. Check it... ",1,1,Positive
@mrskutcher I would like some followers pretty please! I'm new to twitter and only have 2!!!! ,0,0,Negative.
@crowderband Wishing I could come to Student Life tomorrow. Haven't seen ya'll in about 3-4 years.  ,0,1,Positive
I'm soooo secretly sad!!!! ,0,0,Negative
"@Mosh oh thanks, but nothing serious: I was just back from the book fair where I spent definitely too much money in books and comics ",1,1,positive
I am not poorly sick like @loobydo but I am not a happy bunny - I ache ,0,0,Negative
overtime at work????? not worth it.. ,0,0,Negative.
summer school packets suuckkk ,0,0,Negative
"so far i've been a good &quot;House Husband&quot;, dogs let out and fed, 1st laundry load now in the dryer, 2nd load in the washer &amp; some folded ",1,1,Positive
guitar practice.. ugh! wen't to school lately and very pissed off.. my havaianas broke off! terrible.. I was in the car the whole time! ,0,0,Negative
@splatEric fab thanks! ,1,1,positive
I'm graduating in t-minus 10 seconds! ,1,1,Positive
"@PeaceloveRachie rach, 2 things. 1: if it says he tweeted by text, he can't reply to people. and 2: he rarely replies to people.   ",0,0,Negative
":L @AlysPM Well Shaun &amp; Andy are there, so #bradiewebb should be :L #bradiewebb #bradiewebb #bradiewebb #bradiewebb #bradiewebb  haha",1,1,Positive
@adecembertruth i shall. hoepfully i can go to mfl ,1,1,Positive
Shoulda stuck wit my date.  Him woulda babied me. ,0,0,Negative
"@Hail_Mary_Jane you are allowed.... you just should ask permission first, lmao.... ",1,1,positive
"my glasses are missing  oh crap, and they're not even a day old yet!! aghhhh. why oh why does this always happen to me?!?",0,0,Negative
Also - do the reactive lenses really not work in cars? ,0,0,Negative
"@HungryGirl I have that same Twitter/FB problem! I finally got FB on the phone &amp; don't think it's poss.  If u find out how, let me know!",0,0,Negative
