text,true_label,predicted_label,compound_score
@brownskyn haha. There's not too much to update you on. but I will fill you in soon. ,1,1,0.25
"my new anti-virus ive just installed seems to be so effective, i struggle to open anything on the internet ",0,1,0.3427
"fact: i still love him...you learn from mistakes, just hope i don't repeat them again. 9 days ",0,1,0.6808
i think i gotta make a new twitter account cuz my &quot;sojufied&quot; one is seriously all fucked up ,0,0,-0.7269
end of the weekend....back to work tomorrow  We need longer weekends!!!,0,0,0.0
"I wana write a book. Hmm I think I will. After my journals done. Like my life story, er kinda.  then ill publish it ",1,0,-0.0056
@emilygrace_BHB I went to that concert and I remember Derek and Mark were hosting! I miss seeing BHB  at the grove. ,0,0,-0.2244
At the diner ,1,0,0.0
"@Senya_LB Here, Lisenya. The link is a player which opens in another window. It's easier to show you, than tell you.  http://is.gd/Hr0e",1,1,0.4215
"At home, and bored as hell. The Lakers 2-2 ",0,0,-0.7717
"Happy Mother's Day.  Scott's off to Dallas, I'm off to NYC to start Hilarie's apartment move out.  No Komen Race for me today ",0,1,0.3612
"@buckhollywood hey, happy birthday! im watching in the waiting room ",1,1,0.6114
@ginoboi and @monicafrancesca's fans! join Gino-ism and F-unit! hehe! fangirls and fanboys unite! lol ,1,1,0.7326
Wearing my special red gloves... In an illusionary state of feeling good abt myself ,1,1,0.7269
"@MadRadSammy Oh yeah what did you order?  I had a laser hair appt today, ask Rhonda why she hasn't used her gift cert from me yet?  ",0,0,-0.1446
@Skater1405  sometimes in life you have to learn from your mistakes.,1,0,-0.3612
Why was it not anybody else than Rahul Gandhi ,0,0,0.0
The sun is shining today and Georgian terraced homes of Belgravia look even more cosy than ever ,1,0,0.0
"@Bruna126 Oh dear! Any more exams to add to that list? Goodness! :S Wish you the best babygirl, see you @ the airport tonite!  love you :]",1,1,0.9574
oh about you lol sorry my minds always on you ,1,1,0.3612
"yeeww.  Mark Webber on the podium!  BrawnGP, almost as dominant as TeamVodafone [V8s}     ",1,0,0.0
slept in a wrong position now my back hurts ...  mommy,0,0,-0.7351
@riversideboy no.....they are either out somewhere or live too far away to just casually stroll over and see ,0,1,0.1779
"@CaptainChrismo Goodnight Chris! I was about to say, Cappy should take a nappy! ",1,0,0.0
my friend's dad's funeral is today ,0,0,-0.3612
"Thanks to all who came to my grad party!  After a full weekend, back to studying...only 6 more days of this! ",1,1,0.7339
has not been able to fall asleep because of this ugly stomach ache. I wish my beb was here. He always knows how make feel better ,0,0,-0.2204
"@fauntelroy keep it mum then chap! we'll catch up later on then.  till that time, keep us in zebulon",1,0,0.0
@desynch Hey ,1,0,0.0
Its a new day! Feeling better and optimistic for a change ,1,1,0.7177
I can lose a lover but i cant lose a friend.  ESOTSM;,0,0,-0.7537
Gmail is Down! I'm screwed. I need to download something before a meeting ,0,0,-0.5411
Is very lonely without her mp3 for company.  - http://tweet.sg,0,0,-0.4201
@andrewbadera I was a latch key kid. I remember one summer when Guns n' Roses November Rain video seemed like all they played ,0,1,0.5994
Follow @willaraujo ,1,0,0.0
"is fed up, fed up, fed up, fed up. It feels like we never get a break ",0,1,0.3612
@MrsVampreezy there is CRAP all on tv -_- OMG 2 weeks to go ,1,0,-0.516
"Woke up, killer soar throat  It hurts soo bad, i need some tea.",0,0,-0.8979
" cant afford to see Angels and Demons, so i watched it for free: http://tr.im/lvBu",0,1,0.5106
"going to listen to jonathan read to alex, read, and then sleep ",1,0,0.0
is shaving his face ,1,0,0.0
@cathicks I don't get it. ,0,0,0.0
@EMerlo4 im so proud! lol yes you did it right ,1,1,0.884
i wanted baby to stay with me today... ,0,0,0.0
"@Lieszl Yeahh muaha, and they can't, because they are destroying their braincells tonight ",1,0,-0.5574
*twisted.. gahh studying is making screw up my commercial ,0,0,-0.1027
doesnt understand twitter ,0,0,0.0
thinks that she is not even safe from the shops inside the house  stupid internet shopping,0,0,-0.7009
@ksmith2009 Awww ,0,0,0.0
@Jtothe hey! U only come here on wkends now ,0,0,0.0
"@ihaveahat ...it says 8pm on them as well, so I'm panicked that they wont let me in on time ",0,0,-0.2911
Confirmed that my british soulmate is still alive and still selling fly kicks at 12 oaks mall ,1,1,0.7579
@doesnogood umm... why don't we hang out anymore?!? All everyone does is work! ,0,0,0.0
Sat's concert was fabulous. Newly commissioned piece by Will Todd out of this world. Best concert I've been in for a long time ,1,1,0.8225
had a great weekend with my favourite fella  I so hate this back to reality feeling ,0,0,-0.0364
@DotComDosh Very good! Thanks ,1,1,0.7693
I wish I wasn't stuck inside on this beautiful day ,0,1,0.8428
iono...I guess I'm getting off now. L8r twits ,1,0,0.0
@heathirmarie he was supposed to throw a bullpen tomorrow off a mound; said he was feeling great; then all of a sudden felt bad. It sucks ,0,0,-0.1027
@NikkiWadley Ah ok...so you're not into Tweeting on the move yet then!! LOL! What work was that?? On a Saturday. ,0,1,0.6974
"Just got out of the GP's, no more Sweets n Chocolate/Cake n proper Meat till further notice, looks like I should just become a vegetarian ",0,1,0.5849
Aye-woke up extremely hungry.. What should I have for breakfast?  good morning* tweeties.,1,1,0.4404
What a lovely Saturday morning! I love winter ,1,1,0.8516
@_misshannah damn you !!!  that's properly unfair!,0,0,-0.7887
@viciousB thank u!! but I dunno how u look so i can't confirm that ,0,1,0.3257
"like I said, nothings ever over ",1,1,0.3612
"yup civil war in iran. and if they say &quot;death to...well prety much every non muslim.&quot; yeah... not good, not good  who are the warbackers?",0,0,-0.8277
"is having a great time with Simon, Christina &amp; Mikkel BBQ'ing ",1,1,0.6249
@Capt_Harkness   hows your day going? Hope its better than mines going at the mo!,1,1,0.7263
"So we had a flat tire, but we were able to drive to hot pit and replace it in no time!  Our first breakdown was at 1.5 hours left in race ",0,0,-0.4753
@JessicaCorban thats good to hear  keep in touch babe!,1,1,0.4926
working on a powerpoint presentation for work with lots of excel diagrams..just don't have time and peace for this kind of work in office ,0,1,0.7579
must go do some work i guess  back later xxx,0,0,0.0
"I thought I had like 8 Maltesers left in the packet, I only had 1. ",0,1,0.3612
okay so I'm at work and I totally threw up!  ,0,1,0.2942
Goodnight ,1,0,0.0
"wow, i can't believe a tornado caused damage to southlands mall.  scary",0,0,-0.3818
@jawnmurray! Hope your day is Wonderful! ,1,1,0.8011
"ÐÑÐºÐ°ÑÐ°Ð» Â«Grand CollectionÂ» ÐÐ¸ÑÐµÐ»Ñ? ÐÐµÐ³ÑÐ°Ð½Ð°. ÐÐ°Ð¹ÑÑÑ  Ð¡Ð°Ð¼Ð¾Ðµ Ð¸Ð½ÑÐµÑÐµÑ?Ð½Ð¾Ðµ Ð² ÑÐ¾Ð¼, ÑÑÐ¾ Ð¼ÐµÐ»Ð¾Ð´Ð¸Ð¸ Ð²ÑÐ¾Ð´Ðµ Ð±Ñ Ð¸ Ð¿ÑÐ¾Ñ?ÑÑÐµ, Ð° â evergreen!",1,0,0.0
good afternoon ladies and gents..... let my day begin (i sleep in too much) ,0,1,0.4404
@JfB57 right now I'm watching how I can consolidate my debt into one by a smiling person ,1,1,0.128
"@shelby53094 Yeah, we've got a lot of lightning right now! -_- I think I'm gonna hav to turn the computer off soon too!  (haha! Sry!.....",0,1,0.5216
"My hands are swollen, very weird. I don't understand why they have counted our ballots yet, they've had 3 days!  #eu09",1,0,-0.3149
@livelikelivdee awww your prom dress ,0,0,0.0
@kaisermommy http://www.dafont.com/starstruck.font this font ,1,0,0.0
essendon lost  jeex why dont u learn to kick straight bombers....ohh well at least our coach isnt terry wallace,0,1,0.1779
"@ddlovato go fangirl over guys your age, please and thank you, we DO NOT appreciate it ",0,1,0.3699
"45688 I know I should break it off because you will always love him more than me, but I can't because of how much I love you ",0,1,0.8555
"@DennisCalero That was about the direct # question, BTW. ",1,0,0.0
"Sunny day,perfect for swimming pool ",1,1,0.4215
@YossiBelkin haha. bet you wont do that again ,1,1,0.4588
We're &quot;re-hearing&quot; our songs!  haha translated: &quot;listening to!&quot;  haha  ,1,1,0.7639
@christineoh haha i approve your listening choice. tell those boys i said yo and to behave ,1,1,0.4588
i got colds. ,0,0,0.0
sadface I'm not at E3-- but at least everybody in my Twitter feed is going to tell me all about it in terrible detail ,0,0,-0.631
@fairls ugghh..everything that can go wrong goes wrong in this country...I haven't been paid ,0,0,-0.7351
@lwarren17 Thanks! I hope so too ,1,1,0.7263
up early to finish rescue course ,1,1,0.5106
Eating Honey Bunches of Oats Just Bunches. Yumm ,1,0,0.0
went to chris &amp; beffnii's house after school today  but chris man-handled me D:,1,1,0.5993
"@bobbinrob Oh noes. Slow internet FTL.  *pets* *shares some of hers* Btw, I got Glee in the mail today! YAYYYY! TY BB. &lt;3",0,1,0.8449
"@jimmietryon My 62-yo neighbor uses Linux for simple printing, email, web. No CLI needed. I use the CLI 4 shortcuts, mostly. ",1,0,-0.296
"awwww didnt sleep in the plane, now i'm all tired ",0,0,-0.4404
guess I like #blip more ,1,1,0.3612
@mikasounds thanx for taking so much time to talk to everbody &amp; signing my iPhone. Pls say Dan thanx for the pic  http://yfrog.com/2sjqaj,1,1,0.0772
@Michael_Maurice Oh same here. Miss the good ol' times of Lawrence and Ashley musically together. ,0,1,0.3182
"just seen the price of JonasBrothers tickets, cant afford that at all  im only a student! ",0,0,0.0
Great Dayy  .. Awl Summeryy Tdayy  .. Dress Nd Sunnys  .. x&lt;3,1,1,0.6249
"Gone to pack my stuff for the rest of the werrk, living with my best friend ",1,1,0.8126
isPlayer Has Died! Sorry ,0,0,-0.636
@ShalaMae Hahaha night. If you need me text me. ,1,1,0.5574
"Writing Android code on a Eee 900 works surprisingly well... if you use a device. It, uh, doesn't handle the emulator well. ",1,1,0.5106
my tweetdeck doesn't work!! ,0,0,0.0
@BL3SS wait...no for what? No you don't wanna screw rj...or no I can't screw Taylor? ,0,0,-0.4885
"@kilamarie  bro hopefully will be fine, it's weird to be so far away when someone is not well!",1,1,0.3134
I am sitting on my sofa starving  watching some boring cooking thing on tele and setting up my twitter page,0,0,-0.6249
"back to work, busy bee ",1,0,0.0
"@MrsDazzle: really? damn, hope he's not too badly hurt  I should check out ONTD more often.",0,1,0.6721
Hey @otepofficial I can't hear anything   (otep-official live &gt; http://ustre.am/CyJ),0,0,0.0
exam not too bad today just have to revise the hell out of physics for friday aka: my birthday ,0,0,-0.4118
"@matthewkempster I know, AOL suck. Their software sucks and the connection is &quot;jittery&quot; ",1,0,-0.6597
@ddlovato being sick sucks so much. i was gonna see &quot;up&quot; tonight but now i don't know if i can  bleh. good luck tomorrow!,0,1,0.7385
"@heathsharp Because he is very veryy attractive, whitty, very very attractive, and has a big ginger thing to play with ",1,1,0.8297
