text,true_label,predicted_label,score
@brownskyn haha. There's not too much to update you on. but I will fill you in soon. ,1,1,0.9979279041290283
"my new anti-virus ive just installed seems to be so effective, i struggle to open anything on the internet ",0,0,0.9866961240768433
"fact: i still love him...you learn from mistakes, just hope i don't repeat them again. 9 days ",0,1,0.9985374212265015
i think i gotta make a new twitter account cuz my &quot;sojufied&quot; one is seriously all fucked up ,0,0,0.9996330738067627
end of the weekend....back to work tomorrow  We need longer weekends!!!,0,0,0.988628089427948
"I wana write a book. Hmm I think I will. After my journals done. Like my life story, er kinda.  then ill publish it ",1,0,0.9929895401000977
@emilygrace_BHB I went to that concert and I remember Derek and Mark were hosting! I miss seeing BHB  at the grove. ,0,0,0.9820910096168518
At the diner ,1,1,0.987220287322998
"@Senya_LB Here, Lisenya. The link is a player which opens in another window. It's easier to show you, than tell you.  http://is.gd/Hr0e",1,0,0.9938855767250061
"At home, and bored as hell. The Lakers 2-2 ",0,0,0.9979944229125977
"Happy Mother's Day.  Scott's off to Dallas, I'm off to NYC to start Hilarie's apartment move out.  No Komen Race for me today ",0,1,0.9954975843429565
"@buckhollywood hey, happy birthday! im watching in the waiting room ",1,1,0.9992081522941589
@ginoboi and @monicafrancesca's fans! join Gino-ism and F-unit! hehe! fangirls and fanboys unite! lol ,1,1,0.9966285824775696
Wearing my special red gloves... In an illusionary state of feeling good abt myself ,1,1,0.9976235032081604
"@MadRadSammy Oh yeah what did you order?  I had a laser hair appt today, ask Rhonda why she hasn't used her gift cert from me yet?  ",0,0,0.9953550100326538
@Skater1405  sometimes in life you have to learn from your mistakes.,1,0,0.9376000165939331
Why was it not anybody else than Rahul Gandhi ,0,0,0.9921056032180786
The sun is shining today and Georgian terraced homes of Belgravia look even more cosy than ever ,1,0,0.8915091156959534
"@Bruna126 Oh dear! Any more exams to add to that list? Goodness! :S Wish you the best babygirl, see you @ the airport tonite!  love you :]",1,1,0.9993491768836975
oh about you lol sorry my minds always on you ,1,0,0.9966425895690918
"yeeww.  Mark Webber on the podium!  BrawnGP, almost as dominant as TeamVodafone [V8s}     ",1,1,0.9963512420654297
slept in a wrong position now my back hurts ...  mommy,0,0,0.9990091323852539
@riversideboy no.....they are either out somewhere or live too far away to just casually stroll over and see ,0,0,0.9966896772384644
"@CaptainChrismo Goodnight Chris! I was about to say, Cappy should take a nappy! ",1,0,0.946501612663269
my friend's dad's funeral is today ,0,1,0.9901561737060547
"Thanks to all who came to my grad party!  After a full weekend, back to studying...only 6 more days of this! ",1,1,0.7473198175430298
has not been able to fall asleep because of this ugly stomach ache. I wish my beb was here. He always knows how make feel better ,0,0,0.9864081144332886
"@fauntelroy keep it mum then chap! we'll catch up later on then.  till that time, keep us in zebulon",1,1,0.992408037185669
@desynch Hey ,1,1,0.6389560103416443
Its a new day! Feeling better and optimistic for a change ,1,1,0.9997360110282898
I can lose a lover but i cant lose a friend.  ESOTSM;,0,0,0.9890050292015076
Gmail is Down! I'm screwed. I need to download something before a meeting ,0,0,0.9997314810752869
Is very lonely without her mp3 for company.  - http://tweet.sg,0,0,0.998136043548584
@andrewbadera I was a latch key kid. I remember one summer when Guns n' Roses November Rain video seemed like all they played ,0,0,0.9977138042449951
Follow @willaraujo ,1,1,0.9771443009376526
"is fed up, fed up, fed up, fed up. It feels like we never get a break ",0,0,0.9849073886871338
@MrsVampreezy there is CRAP all on tv -_- OMG 2 weeks to go ,1,0,0.9995799660682678
"Woke up, killer soar throat  It hurts soo bad, i need some tea.",0,0,0.9976619482040405
" cant afford to see Angels and Demons, so i watched it for free: http://tr.im/lvBu",0,0,0.9882550239562988
"going to listen to jonathan read to alex, read, and then sleep ",1,0,0.9335534572601318
is shaving his face ,1,0,0.9774521589279175
@cathicks I don't get it. ,0,0,0.9983789920806885
@EMerlo4 im so proud! lol yes you did it right ,1,1,0.9998412132263184
i wanted baby to stay with me today... ,0,1,0.9471116065979004
"@Lieszl Yeahh muaha, and they can't, because they are destroying their braincells tonight ",1,0,0.9995766282081604
*twisted.. gahh studying is making screw up my commercial ,0,0,0.998578667640686
doesnt understand twitter ,0,0,0.999198853969574
thinks that she is not even safe from the shops inside the house  stupid internet shopping,0,0,0.9997727274894714
@ksmith2009 Awww ,0,0,0.9877668619155884
@Jtothe hey! U only come here on wkends now ,0,0,0.9014859199523926
"@ihaveahat ...it says 8pm on them as well, so I'm panicked that they wont let me in on time ",0,0,0.9673837423324585
Confirmed that my british soulmate is still alive and still selling fly kicks at 12 oaks mall ,1,1,0.9985480904579163
